correct,wrong,explanation
ademimerkeziyet,a:demimerkeziyet,"Doğru yazım: ademimerkeziyet"
a:ferin,"a:ferim, aferim","Doğru yazım: a:ferin"
ayar,"a:ya:r, a:yar, aya:r","Doğru yazım: ayar"
acemi,acemi:,"Doğru yazım: acemi"
acente,acenta,"Doğru yazım: acente"
ajitasyon,acitasyon,"Doğru yazım: ajitasyon"
adale,adele,"Doğru yazım: adale"
A:dile,Adile,"Doğru yazım: A:dile"
afakan,affakan,"Doğru yazım: afakan"
affetmek,afetmek,"Doğru yazım: affetmek"
agresif,agressif,"Doğru yazım: agresif"
ahenk,ahenk,"Doğru yazım: ahenk"
ahududu,ahudutu,"Doğru yazım: ahududu"
aidat,aiddat,"Doğru yazım: aidat"
aile,a:ile,"Doğru yazım: aile"
akis,akiss,"Doğru yazım: akis"
akordeon,akordiyon,"Doğru yazım: akordeon"
alüminyum,aliminyum,"Doğru yazım: alüminyum"
alçakgönüllü,alçak gönüllü,"Bitişik yazılır."
amblem,amble,"Doğru yazım: amblem"
amortisör,amotisör,"Doğru yazım: amortisör"
anestezi,annestezi,"Doğru yazım: anestezi"
antreman,antrenman,"Doğru yazım: antrenman"
antrparantez,antiparagraf,"Doğru yazım: antrparantez"
apartman,apartıman,"Doğru yazım: apartman"
apandisit,apandist,"Doğru yazım: apandisit"
aperitif,aparatif,"Doğru yazım: aperitif"
apolet,apolit,"Doğru yazım: apolet"
araç,ara:ç,"Doğru yazım: araç"
arefe,arife,"Doğru yazım: arefe"
arkeolog,arkeolok,"Doğru yazım: arkeolog"
armoni,armonni,"Doğru yazım: armoni"
aspirin,asbirin,"Doğru yazım: aspirin"
astigmat,astimat,"Doğru yazım: astigmat"
astsubay,assubay,"Doğru yazım: astsubay"
aşçı,ahçı,"Doğru yazım: aşçı"
ataşe,ateşe,"Doğru yazım: ataşe"
atelye,atölye,"Doğru yazım: atelye"
atlet,addlet,"Doğru yazım: atlet"
atmosfer,atmosver,"Doğru yazım: atmosfer"
ayrım,ayırım,"Doğru yazım: ayrım"
bağış,bahşiş,"Doğru yazım: bağış"
bahşetmek,bahşetmek,"Doğru yazım: bahşetmek"
bakteri,bakterri,"Doğru yazım: bakteri"
belge,bellge,"Doğru yazım: belge"
beyanat,beyanat,"Doğru yazım: beyanat"
bilader,birader,"Doğru yazım: birader"
bilfiil,bil fiil,"Bitişik yazılır."
bisküvi,pisküvi,"Doğru yazım: bisküvi"
biyografi,biyoğrafi,"Doğru yazım: biyografi"
bravo,bra:vo,"Doğru yazım: bravo"
broşür,broşör,"Doğru yazım: broşür"
brüt,bürüt,"Doğru yazım: brüt"
buçuk,buçuk,"Doğru yazım: buçuk"
coğrafya,coğrefya,"Doğru yazım: coğrafya"
cankurtaran,can kurtaran,"Bitişik yazılır."
cazibe,ca:zibe,"Doğru yazım: cazibe"
ceryan,cereyan,"Doğru yazım: cereyan"
cesur,cesur,"Doğru yazım: cesur"
ciğer,ciyer,"Doğru yazım: ciğer"
ciddiye almak,ciddiye almak,"Ayrı yazılır."
cimri,pimri,"Doğru yazım: cimri"
conta,çonta,"Doğru yazım: conta"
cüppe,cübbe,"Doğru yazım: cüppe"
çerçeve,çerçerçeve,"Doğru yazım: çerçeve"
çevrim içi,çevrimiçi,"Ayrı yazılır."
çikolata,çukulata,"Doğru yazım: çikolata"
dekorasyon,dekarasyon,"Doğru yazım: dekorasyon"
demagoji,demogoji,"Doğru yazım: demagoji"
demiryolu,demir yolu,"Bitişik yazılır."
deodorant,deorant,"Doğru yazım: deodorant"
